Job Title,Company,Rating,Reviews,Experience,Salary,Location,Description,Skills,Posted Date
S&CGN - Tech Strategy & Advisory - Security - GRC -Manager,Accenture,3.8,56065,10-15 Yrs,Not disclosed,Bengaluru,"Experience in Gap, risk and maturity Assessments, Remediation recommendations and draft...",artificial intelligenceshell scriptingmlpythonrhelalgorithmskubernetesopenshift,4 Days Ago
"Support Engineer (L4), Amazon Payments",Amazon,4.1,25077,1-6 Yrs,Not disclosed,Bengaluru,"We innovate to improve customer experience across the globe, with support for currency ...",AutomationApplication supportOperational excellenceCodingDebuggingWorkflowTroubleshootingDistribution system,4 Days Ago
"Data Engineer II, FIO Analytics",Amazon,4.1,25077,2-5 Yrs,Not disclosed,Bengaluru,3+ years of data engineering experience 4+ years of SQL experience Experience with data...,Warehousedata engineer iiBusiness AnalystData modelingManager TechnologyManagementAWSAnalytics,4 Days Ago
Hiring For CX BP - Power Products at Schneider Electric,Schneider Electric,4.1,3789,6-11 Yrs,Not disclosed,Bengaluru(KR Puram),Company Name : Schneider Electric. Work Location: Bangalore. Work Experience: 6- 10 yrs...,Six SigmaCustomer successProcess ImprovementQuality ManagementCustomer RetentionClient Successprocess ownerbusiness development,4 Days Ago
Legal Counsel,Avery Dennison,3.9,402,2-5 Yrs,Not disclosed,Bengaluru,At least 5 years of experience of working at both a law firm as well as in a legal role...,ProcurementDispute resolutionComplianceLitigationLegal CounselLegalLegal adviceLicensing,4 Days Ago
Data Modelling - ECAD Library (Footprint and Symbol),Thales,3.6,367,3-7 Yrs,Not disclosed,Bengaluru,Qualifications: Bachelor of Technology in Electronics & Communication or Electrical eng...,AllegroHDLElectrical designAerospaceData modelingAnalogCADSilicon,4 Days Ago
IT Tech Specialist Invoice To Payment,Ericsson,4.1,7113,2-4 Yrs,Not disclosed,Bengaluru,"5+ years of experience from technical work with OpenText Intelligent Capture, Business ...",SAP ECCPayment processingInvoice processingProject managementsap fioriAgileAribaSolution Architect,4 Days Ago
Engineer/Senior Engineer ME Automation,General Motors (GM),4.3,496,3-10 Yrs,Not disclosed,Bengaluru,Job Description Sponsorship: GM DOES NOT PROVIDE IMMIGRATION-RELATED SPONSORSHIP FOR ...,BiwAutomationSimulationProject managementHardware designManufacturing engineeringSite executionCost estimation,4 Days Ago
Accountant (Reporting Analyst-Power BI),Caterpillar Inc,4.3,1214,5-10 Yrs,Not disclosed,Bengaluru,Experience in working in a matrix organization structure with global stakeholders from ...,Reporting AnalystData managementAnalyticalpower bibusiness rulesmicrosoftOperationsSQL,4 Days Ago
"Senior Analyst, Vendor Master Data Management",Diageo,4.1,878,6-10 Yrs,Not disclosed,Bengaluru,Experience / skills required: TE .,Business servicesAnalystTeam managementMaster data managementShapingSEZStakeholder managementAuditing,4 Days Ago
"System Devlopment Engineer-III, Payments Services",Amazon,4.1,25077,2-6 Yrs,Not disclosed,Bengaluru,"We innovate to improve customer experience across the globe, with support for currency ...",LinuxOperating systemsE-commerceCustomer experienceTroubleshootingRubyDistribution systemSoftware solutions,4 Days Ago
Security & Compliance Assessments - IT Lead,Aon,3.8,1244,4-6 Yrs,Not disclosed,Bengaluru,Job Title- Regulatory Compliance Assessment - IT Lead Position type- Full Time Work L...,remediationManager Internal AuditCisaExternal auditHIPAAAgileSecurity servicesRegulatory compliance,4 Days Ago
Senior Tax Analyst,Caterpillar Inc,4.3,1214,7-12 Yrs,Not disclosed,Bengaluru,Career Area: Finance Job Description: Your Work Shapes the World at Caterpillar I...,Business servicesFinancial statementsSAPUS GAAPProcess improvementAnalyticalData collectionIFRS,4 Days Ago
Remote Desktop Support Engineer,Cognizant,3.8,49893,3-6 Yrs,Not disclosed,Bengaluru,The ideal candidate will work from our office during day shifts providing exceptional t...,Desktop SupportRemote SupportService DeskIncident ManagementcommunicationCommunication skillsIncidentRemote,4 Days Ago
"Corporate Counsel, Business Conduct & Ethics Investigations",Amazon,4.1,25077,10-16 Yrs,Not disclosed,Bengaluru,Amazon s Legal Department is looking for a lawyer with significant experience in corpor...,SupervisorCrisis managementComplianceProject managementLegalCorporate CounselManagementCounselling,4 Days Ago
VP Information Management,Hsbc,4.0,4741,3-5 Yrs,Not disclosed,Bengaluru,The position holder will be responsible to manage and maintain the billing for the DAO ...,Data analysisBusiness analysisProject managementManagement consultingBillingInformation managementStakeholder managementPrincipal,4 Days Ago
Building Information Modeler (Civil 3D),Brunel,4.1,97,8-12 Yrs,Not disclosed,Bengaluru,Integrating Civil 3D output with another BIM software s like Revit and Plant 3D. . Prof...,Team leadingNetwork designAutoCADCADBimClient coordinationREVITAutodesk,4 Days Ago
Digital Product Owner,Caterpillar Inc,4.3,1214,5-11 Yrs,Not disclosed,Bengaluru,"Bachelor s degree or master s degree in information systems, STEM, Finance or similar r...",Manager Quality AssuranceBusiness analysisBusiness process improvementProblem managementSales processRisk managementBusiness solutionsStakeholder management,4 Days Ago
Director - Bangalore Accounting Competency Centre,Schneider Electric,4.1,3789,9-13 Yrs,Not disclosed,Bengaluru,The Director of Bangalore Accounting Competency Centre must possess a solid accounting ...,Change managementFinancial reportingPerformance managementFinancial analysisCMACimaBudgetingIFRS,4 Days Ago
Financial Controlling Junior Manager,Diageo,4.1,878,6-8 Yrs,Not disclosed,Bengaluru,Working hours (NAM) : 330 PM to 1230 AM shift. From part-time and compressed hours to d...,Manager Internal AuditFinancial statementsJournal entriesFinancial reportingExternal auditReconciliationSEZFMCG,4 Days Ago
Senior Software Engineer - ICCP & PCU,Hitachi Energy,4.1,672,7-8 Yrs,Not disclosed,Bengaluru,We re looking for someone passionate both about software quality and about delivering ...,Computer scienceSocket programmingC++LinuxCodingAgileScrumWindows,4 Days Ago
Hardware Developer,IBM,4.0,21968,1-4 Yrs,Not disclosed,Bengaluru,Bachelors Degree . Safety certified to work around high voltages (480VAC and 208VAC) Ha...,data analysisserver hardwaredocumentationnetworkinglinuxrestpythonc++,5 Days Ago
Engineer - BI ( Qliksense),ANZ,4.1,1019,1-2 Yrs,Not disclosed,Bengaluru,. Should have 1-2yrs Qliksense Mashup Experience . Should have Basic FullStack Developm...,Business processGCPAnalyticalDebuggingTest casesBusiness intelligenceContinuous improvementOperations,5 Days Ago
EHM_C#.Net WPF developer_Bangalore,Robert Bosch Engineering and Business Solutions Private Limited,4.2,3850,2-6 Yrs,Not disclosed,"Hosur, Bengaluru",Experience using GIT or TFS. Strong experience with Visual Studio 2019 and Microsoft De...,Computer scienceChange managementDebuggingAgileApplication developmentScrumVisual StudioWPF,5 Days Ago
Junior Engineer Testing,Flex,4.0,2369,2-5 Yrs,Not disclosed,Bengaluru,Flex is the diversified manufacturing partner of choice that helps market-leading brand...,C++LinuxNetworkingFlexLabviewWindowsCCNATroubleshooting,5 Days Ago
Payroll Manager,PwC Service Delivery Center,3.4,9077,10-14 Yrs,Not disclosed,Bengaluru,Master s / Bachelors degree,PayrollFinancial reportingFinancial analysisAnalyticalReconciliationFinancial statement analysisRisk managementForecasting,5 Days Ago
"Manager, Design Ops Program Management",Adobe,3.9,1060,4-9 Yrs,Not disclosed,Bengaluru,. You will also help lead overall business operations for a 100+ sized design team and ...,Product qualityProduct launchOperational excellenceStaffingCloudAgileProduct designManagement,5 Days Ago
Staff Data Engineer,Visa,3.5,361,8-13 Yrs,Not disclosed,Bengaluru,"The candidate should be able to define and manage data load procedures, implement data ...",UnixmetadataNoSQLLinuxData managementData modelingData structuresFinancial services,5 Days Ago
Product Owner or Manager-Senior Manager - Program & Project Management,Ltimindtree,3.8,20875,8-12 Yrs,Not disclosed,Bengaluru,Job Description for Product Manager / Product Owner Total Experience: 8-12 Years ...,MiningComputer scienceProduct ManagerBusiness analysisProject managementAnalyticalBillingScheduling,5 Days Ago
IN_Senior Manager_GRC Tech_ITRA_Advisory_ Bangalore,PwC Service Delivery Center,3.4,9077,10-13 Yrs,Not disclosed,Bengaluru,Solution Architect or Lead Developer level experience of having led multiple complex GR...,Manager Internal AuditAssuranceData analysisSAPFinancial reportingCorporate governanceIFRSRisk management,5 Days Ago
Database Developer,Capco,3.7,519,6-8 Yrs,Not disclosed,Bengaluru,Key Skills: . Handing infra level aspect like database structure . Should have knowledg...,Delivery excellenceDatabase managementManagement consultingBankingInfrastructureData structuresOracleSyBase,5 Days Ago
Sr Advanced Embedded Engr,Honeywell,3.8,1322,10-15 Yrs,Not disclosed,"Greater Noida, Bengaluru",Job Description: The candidate shall be completely responsiblefor cellular test ac...,Computer science3GSimulationDefect trackingPerlCustomer supportProtocol designingTroubleshooting,5 Days Ago
"C, SIP/VOIP DEVELOPER II 5 To 8 YEARS II BANGALORE",Capgemini,3.7,41483,5-8 Yrs,Not disclosed,Bengaluru,"Hands-on experience in C, SIP/VOIP protocols, and Linux commands|Utilize C programming ...",voiplinuxsipcvoip protocolsc++cisco unified communicationsucce,5 Days Ago
Director - SaT - CHS - SAT - TCF - TRANSACTION DILIGENCE - Bangalore,EY,3.4,10684,10-15 Yrs,Not disclosed,Bengaluru,Skills and attributes . To qualify for the role you must have Due diligence experience ...,AssuranceDue diligenceProject financeFinancial planningHealthcareCorporate financeInvestment bankingAnalytics,5 Days Ago
Golang Developer,Capgemini,3.7,41483,4-9 Yrs,Not disclosed,Bengaluru,4+ years in enterprise software development with 2.5+ years in Golang and AWS experienc...,golangmicroservicesrestcloud nativeawskubernetescontinuous integrationweb services,5 Days Ago
Senior Software Engg - Systems,Mphasis,3.4,8275,4-8 Yrs,Not disclosed,Bengaluru,"Looking for SFDC System Developer: 3 to 8 years IT industry total experience, specifica...",Computer scienceCodingAnalyticalJavascriptAgileWorkflowHTMLTest cases,5 Days Ago
Software Principal Engineer,Dell Technologies,4.0,3777,8-12 Yrs,Not disclosed,Bengaluru,"Essential Requirements . Extensive working experience of programming in Java / C++, Py...",C++ArchitectureDebuggingJavascriptManagementOpen sourceSoftware solutionsPrincipal,5 Days Ago
"Full Stack Senior Developer: Java, React/Angular/Node",SAP,4.2,1656,8-13 Yrs,Not disclosed,Bengaluru,"As a full stack developer, youll have the chance to join one of our Scrum teams an...",Object oriented designPayrollSoftware designFront endTDDData structuresScrumUnit testing,5 Days Ago
Enterprise Architect - Life Sciences - Analyst,Accenture,3.8,56065,6-8 Yrs,Not disclosed,Bengaluru,Bachelor's degree with 6-8 years of consulting experience in enterprise architecture; k...,SoASecurity ArchitectureApplication ArchitectureTOGAFconsultingDODAFMicroservices architectureAPI architecture,5 Days Ago
GN-Industrial- SAP Platforms - Consultant,Accenture,3.8,56065,6-10 Yrs,Not disclosed,Hyderabad,MBA from Tier 1 or 2 business school with 7-15 years of SAP S4 HANA experience and prov...,project managementpresentation skillssdibpewmsapsap sdlogistics,5 Days Ago
S&CGN - Tech Strategy & Advisory - Japan Bilingual - Consultant,Accenture,3.8,56065,10-15 Yrs,Not disclosed,Hyderabad,Master's or Bachelor's degree in business or related field with 8+ years in strategic p...,PaaSSaaSIaaSTechnical StrategySOApredictive analyticsopen dataITIL,5 Days Ago
Hiring Graduate Freshers For Multiple Locations,Avenue Ecommerce Limited (DMart Ready),3.9,4518,0-1 Yrs,Not disclosed,"Mumbai, Pune, Mumbai (All Areas)",2023/2024 Graduate Fresher with good Advanced Excel knowledge and a learning attitude|H...,Advanced ExcelhlookupNon Voice ProcessPurchase OrderPurchase EntryvlookupNon VoiceData Entry,14 Days Ago
Cluster Manager/Cluster Head _Last Mile Operations,Ecom Express,3.8,3752,5-10 Yrs,5-10 Lacs PA,"Navi Mumbai, Pune, Mumbai (All Areas)","Locals for Mumbai, Pune & nearby locations . Graduation is mandatorySomeone who has min...",Cluster OperationsLast Mile DeliveryLast MileField OperationsManpower ManagementManpower HandlingSupervisionManpower,5 Days Ago
Associate,Crisil,3.6,1587,0-2 Yrs,Not disclosed,"Mumbai, Pune",CRISIL is looking for Associate to join our dynamic team and embark on a rewarding care...,Ratio analysisPrimary researchFinancial analysisFinanceReport writingResearchSecondary researchSecondary,11 Days Ago
Officer,Lupin,4.2,6001,1-4 Yrs,Not disclosed,"Pune, Mumbai (All Areas)",Experience in steam sterilizer qualifications. Experience in QAMS and E.BPR is preferre...,QAMSE.BPRBPRsCIP/SIP systems and bioreactorBioreactorQamCipSIP,11 Days Ago
Housekeeping Executive,Marriott,4.2,1253,2-7 Yrs,Not disclosed,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad","Communicate issues to next shift . Stand, sit, kneel, or walk for an extended period ac...",HousekeepingSupervisorHousekeeping managementFront officeQuality standardsFront deskSafety trainingHousekeeping Executive,12 Days Ago
Apple Retail - Creative Pro,Apple,4.3,539,4-8 Yrs,Not disclosed,"Pune, Mumbai (All Areas)",You can: Draw from experience with teaching or public presentations and be comfortable ...,FacilitationTrainingProject ManagementLearning And DevelopmentCustomer EngagementEngagementSoft SkillsProgram Management,Women candidates preferred
Cluster Lead,Smartworks,3.5,279,6-8 Yrs,8-12 Lacs PA,"Pune, Mumbai (All Areas)","BA/BS in Business, Marketing, or Hospitality; 10+ years in client-facing roles; 3+ year...",CSATTeam ManagementCustomer SatisfactionClient RelationshipStakeholder ManagementRelationshipManagementClustering,14 Days Ago
Sales Officer,Bajaj Housing Finance,3.7,1025,0-4 Yrs,"50,000-3 Lacs PA","Pune, Mumbai (All Areas)",Develop strong relationships with existing clients to increase repeat business and refe...,Field SalesHousing FinanceHousing LoanSales And MarketingHome LoansMortgage LoansHome Loan SalesHome Finance,13 Days Ago
Executive Maintenance,Kone,4.1,1381,2-7 Yrs,2.5-7.5 Lacs PA,"Navi Mumbai, Pune, Surat",We want to offer the best People Flow experience to those using our equipment in reside...,TechnicianMaintenance technicianElevator Maintenancecustomer service engineerMaintenanceCustomer service,14 Days Ago
Sales Engineer,S S Amalgus,,,"Mumbai, New Delhi, Pune",To visit and promote Industrial Automation Product of reputed make in West and North of...,Industrial SalesSales EngineerPneumatic ProductIndustrial Automation ProductTechnical salesIndustrial Sales EngineerTechnicalSales,10 Days Ago,Save,Unknown
Apple Retail - Expert,Apple,4.3,539,4-8 Yrs,Not disclosed,"Pune, Mumbai (All Areas)",SummaryApple Retail is where the best of Apple comes together. We bring our expertise t...,SalesCustomer ExperienceSales StrategyCustomer FocusCustomer EngagementCoachingProblem SolvingInterpersonal Skills,Women candidates preferred
DGM Business Risk,Mahindra and Mahindra Limited [Automotive and Farm Equipment Business],4.1,4384,6-10 Yrs,Not disclosed,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",Required. some of the skill levels required are: Strategic thinking and ability to see...,financial analysisrisk managementoperations managementkyccomplianceinternal auditAnalysisManagement,12 Days Ago
Engineer - Technical Service,Kone,4.1,1381,3-8 Yrs,Not disclosed,"Navi Mumbai, Pune, Mumbai (All Areas)","Job Description:KONE India is part of KONE, one of the global leaders in the elevator ...",TroubleshootingTechnical ServicesService EngineeringField ServiceEngineeringFieldServicingTechnical,14 Days Ago
Installation Engineer- Elevators,Kone,4.1,1381,2-7 Yrs,Not disclosed,"Navi Mumbai, Pune, Surat",Installation supervisors role is to manage and control projects from sales/installation...,InstallationElevatorMan powerHazardous Waste ManagementMaterial ManagementSub contractorSite SafetyQuality,14 Days Ago
Sales Engineer - Capital Equipment - Woodworking Industry,Nitshaw Wood Panel And Surface Technologies,,,"Hybrid - Pune, Ahmedabad, Mumbai (All Areas)",o Bachelors or Masters degree with 3-5 years experience in Sales / Business Development...,Capital EquipmentsWoodSales And MarketingfurnitureIndustrial MachinerySpecial Purpose MachinesDust CollectorMachine Tools,10 Days Ago,Save,Unknown
Business Valuation AM,Big 4 Consuting firm,,,Not disclosed,"Pune, Delhi / NCR, Mumbai (All Areas)",Advanced valuation techniques and strong knowledge of local GAAP or IFRS standards|Lead...,Business ValuationPPAgoodwillimpairmentRelative ValuationValuationDCFGWI409A,8 Days Ago,Save
Dy General Manager Strategy,Mahindra and Mahindra Limited [Automotive and Farm Equipment Business],4.1,4384,6-12 Yrs,Not disclosed,"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad","Project Leadership: Lead cross-functional teams in the planning, execution, and deliver...",management consultingmarginsoperationsprocess optimizationstrategic managementcommunication skillsConsultingGeneral,14 Days Ago
Python Software Developer,Hexaware Technologies,3.6,5861,4-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Mumbai (All Areas)","Candidate should have a deep understanding of Python framework, RESTful principles, and...",PythonDjangoTornadoFastAPIRest Api ServicesFlaskSQLSoftware development,12 Days Ago
Mobile Development Engineers,IT Services Company,,,Not disclosed,"Pune, Mumbai (All Areas)",Position: Mobile EngineersRole & Requirements:- 5+ yrs of experience- Strong experience...,React NativeReduxJavaScriptRESTful APIsNativeMobile developmentRestAPI,14 Days Ago,Save
Java Cloud Native Developer/ Lead,Hexaware Technologies,3.6,5861,7-12 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Mumbai (All Areas)",2+ years of experience in AWS2+ years of experience in spring boot 2+ years of experien...,JavaS3Api GatewayLamdastep funtionsSpringJQueryAngular,11 Days Ago
Hiring HR Generalists For Whitefield location,DMart,3.9,4518,4-8 Yrs,2-4.75 Lacs PA,Bengaluru,"Job Title HR Officer. Education MBA-HR, MSW, Any Graduate. Experience 3-5 yrs. Age upto...",Time office mangementEmployee RelationsAttendance ManagementEmployee GrievancesRelationshipOffice managementHrsdTime office,5 Days Ago
Walk-in Drive For RTR Role (1 To 12 Years) For Bangalore |Capgemini,Capgemini,3.7,41483,01 Mar,Not disclosed,Bengaluru,"Reviewing of bank statements reconciliations, as well as balances on the sub bank accou...",Record To ReportFixed AssetsRTRR2R ProcessR2RGeneral Ledger AccountingMonth End ReportingJournal Entries,Walk-in
Opportunity For Customer Support Desk - Agent Role - Bangalore,HCLTech,3.5,35943,2-7 Yrs,Not disclosed,Bengaluru,Shift - Rotational Shift & Rotational Off (24 / 7 Shift). Work Mode - Work from Office....,Communication SkillsCustomer SupportInbound CallsInternational VoiceCustomer Service CommunicationInbound Voice ProcessGood English CommunicationSpoken English,4 Days Ago
"Application Engineer, Amazon Payments",Amazon,4.1,25077,1-6 Yrs,Not disclosed,Bengaluru,"We innovate to improve customer experience across the globe, with support for currency ...",UsageDebuggingE-commerceCustomer experienceTroubleshootingdebitDistribution systemTechnical support,5 Days Ago
GN-Industrial-Traffic Management - Consultant,Accenture,3.8,56065,1-6 Yrs,Not disclosed,Hyderabad,MBA from a Tier 1 or Tier 2 school or extensive industry experience in railway logistic...,Traffic ManagementcloudML strategyRPAtransport managementasset developmentAI strategylogistics consulting,6 Days Ago
Garment Technician / Sampling QA (Knitwear) @ Bangalore,Shahi,4.0,1762,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Position: Sr. Executive-Sample Development (QA / Garment Technician)Location: Arekere, ...",garment technicianquality checkSample Developmentsample fitGarmentsDevelopmentSamplingQuality assurance,7 Days Ago
"Client Solutions Manager, Amazon",Amazon,4.1,25077,2-8 Yrs,Not disclosed,Bengaluru,"With millions of customers visiting us every day to find, discover, and buy products, w...",AutomationClient solutionsProduct ExpertProcess improvementAd salesTeam buildingCRMSalesforce,5 Days Ago
Manager Assembly Process Industrialization,Schneider Electric,4.1,3789,8-13 Yrs,Not disclosed,"Hyderabad, Chennai",This position & involves the employee to be responsible for the complete designing of t...,WeldingAssemblyAssembly processManagementIndustrializationProcessProcess management,6 Days Ago
"Manager - Real Estate, RE",Amazon,4.1,25077,9-15 Yrs,Not disclosed,Bengaluru,Regular travel will be required and this role reports to the Regional Manager- Real Est...,WarehouseFinancial analysisConflict resolutionContract managementCustomer satisfactionProject managementtransaction managementCash flow,5 Days Ago
Cognizant is Hiring For Performance Testing !!,Cognizant,3.8,49893,5-10 Yrs,5-10 Lacs PA,Bengaluru,Experience : 4 to 14 Years. Experience in Performance testing using LoadRunner or any o...,Performance TestingLoad RunnerJMeterHiringRunnerPerformanceLoadSoftware testing,5 Days Ago
Hcl Tech- F2F Drive For Data Engineer on 22nd Feb @ Chennai,HCLTech,3.5,35943,6-10 Yrs,Not disclosed,Hybrid - Bengaluru,Exp range-6-10 yrs. Notice- Immediate -30 days. Should be willing to work from Bangalor...,PysparkAzure DatabricksAWSSQLTechnical analysisData EngineeringMicrosoft AzureData,4 Days Ago
Senior Service Delivery Engineer - Site Reliability,Phonepe,4.0,2282,4-7 Yrs,Not disclosed,Bengaluru,Understand the criticality of production infrastructure . Be willing to work night shif...,cloudLinux ServerNetworkingLinux System AdministrationDatabase AdministrationLinuxServSenior,5 Days Ago
Lead React Developer,Trigent Software,3.5,504,10-17 Yrs,25-40 Lacs PA,Hybrid - Bengaluru,"Proven experience with and demonstrable understanding of Web Accessibility, (WCAG 0 AA ...",GraphqlReact.JsNextjsTypescriptDevelopment,5 Days Ago
React Lead,Trigent Software,3.5,504,10-20 Yrs,Not disclosed,Bengaluru,"Proven experience with and demonstrable understanding of Web Accessibility, (WCAG 0 AA ...",GraphqlReactNextjsTypescriptReact.js,5 Days Ago
IT Service Pricing Manager,Mphasis,3.4,8275,7-9 Yrs,Not disclosed,Bengaluru,Business and Technical skills (Mandatory): . Finance background and preferably an MBA i...,PricingP&LForecastingIT Service PricingFinancial ModellingDeal Profitability AnalysisRevenue RecognitionInvoicing,5 Days Ago
"Application Engineer, Appstore Software Excellence",Amazon,4.1,25077,4-6 Yrs,Not disclosed,Bengaluru,"Amazons Appstore Platform services are highly available, mission critical services, han...",UnixDebuggingManager TechnologyCustomer experienceManagementTroubleshootingDistribution systemTechnical support,5 Days Ago
Staff Software Engineer,Wabtec,4.1,193,8-10 Yrs,Not disclosed,Hybrid - Bengaluru,8+ to 10 years of experience in design & development of scalable and innovative end-to-...,C#Asp.Net CoreASP.NetASP.NET webAngularJSAngularSoftwareWeb technologies,Women candidates preferred
GN - SONG - C&S - Software and Platforms - Manager,Accenture,3.8,56065,12-14 Yrs,Not disclosed,Bengaluru,MBA in Sales & Marketing with 12-14 years of experience in sales transformation and B2B...,Sales Transformationperformance marketingc#digital marketingproject managementc++forecastingsoftware management,6 Days Ago
Systems Analyst( Weblogic & DBA ) : Bangalore,Oracle,3.7,5203,5-10 Yrs,Not disclosed,Hybrid - Bengaluru,Extensive experience in the implementation and maintenance of Enterprise Applications u...,WeblogicOracle DBADockerOracle AdminSystem analysisDatabase administrationOracleAdministration,5 Days Ago
Full stack developer,Capco,3.7,519,5-10 Yrs,Not disclosed,Hybrid - Bengaluru,Experience: 5 to 7 years.,Fullstack DevelopmentNodeFull StackReact.JsDevelopmentStack,5 Days Ago
GN - SONG - Service - Salesforce Platforms - Analyst,Accenture,3.8,56065,1-5 Yrs,Not disclosed,Bengaluru,MBA from a tier 1 institute with 1-5 years of experience in Salesforce CRM implementati...,data analyticspresentation skillsbusiness analysissalesforce crmsalesforce ecosystemvisualforcedata analysisssas,6 Days Ago
GN- Industry Strategy- Life Science Strategy - Analyst,Accenture,3.8,56065,1-3 Yrs,Not disclosed,Bengaluru,MBA from a tier 1 institute with 1-3 years experience in Life Sciences industry|Conduct...,Business Strategytrade marketingconsumer marketinggeneral managementresearch analysismarket researchmarket entry strategycorporate strategy,6 Days Ago
Engineering Services Lead,Accenture,3.8,56065,2-6 Yrs,Not disclosed,Bengaluru,BE in Mechanical/Aerospace Engineering with 2-5 years of experience in ASM/AWM and know...,sapcmswiringimpact analysisengineering designproject managementmechanical engineeringengineering drawing,6 Days Ago
Manufacturing Engineering Practitioner,Accenture,3.8,56065,3-5 Yrs,Not disclosed,Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : Bachelors or M...,modal analysisisamihypermeshstructural analysisstress analysispythonfeadata validation,6 Days Ago
GN - SONG - Service - Command Center of Future - Consultant,Accenture,3.8,56065,2-7 Yrs,Not disclosed,Hyderabad,Train and mentor the clients in-house team on WFM processes :Exchange best practices ac...,project managementcustomer serviceverintconsultancy serviceswfmresource managementvendor managementoperations management,6 Days Ago
GN - SONG - Service - Genesys - Analyst,Accenture,3.8,56065,2-6 Yrs,Not disclosed,Bengaluru,Engineering Degree or MBA from a tier 1 institute with 2-6 years of experience in Genes...,genesysservice operationsssasbusiness intelligencegenesys frameworkdigital marketingivrpbx,6 Days Ago
GN - SONG - Service - Nice CX One - Senior Manager,Accenture,3.8,56065,8-13 Yrs,Not disclosed,Bengaluru,"MBA from a tier 1 institute and 8+ years of experience in project management, with expe...",project managementsoftware developmentservice managementcustomer servicecrmwarranty managementoperations managementteam management,6 Days Ago
GN-Health-Interoperability- Manager,Accenture,3.8,56065,7-12 Yrs,Not disclosed,Bengaluru,Health Consulting Practitioner (Interoperability) Find endless opportunities to solve o...,us healthcaresalesxmlpresentation skillsediswitchingeigrpfhir,6 Days Ago
GN-Health- Health EMR- Manager,Accenture,3.8,56065,7-12 Yrs,Not disclosed,Bengaluru,7 to 12 years of experience in healthcare with expertise in US healthcare ecosystem and...,health care servicesus healthcaremedicinehospital administrationhealth managementpharmaceuticalpatient relationspresentation skills,6 Days Ago
GN - SONG - Service - Google Gen AI - Analyst,Accenture,3.8,56065,5-10 Yrs,Not disclosed,Bengaluru,The SONG Practice | Google SpecialistJoin our team of SONG consultants who solve custom...,nuanceamazon lexgooglecxwatsonbusiness intelligenceartificial intelligencegenesys framework,6 Days Ago
GN - SONG - Service - Nice CX One - Consultant,Accenture,3.8,56065,4-8 Yrs,Not disclosed,Bengaluru,"4-8 years of experience in contact center solutions, including NICE inContact/CXone pro...",rpaweb servicesomnicloud administrationjavaccplasterproject management,6 Days Ago
GN - SONG - Service - ServiceNow - Manager,Accenture,3.8,56065,8-13 Yrs,Not disclosed,Bengaluru,ServiceNow Certified System Administrator (CSA) certification is preferred A general or...,program managementpresentation skillscrm analyticssalesforcedigital transformationproject managementdata analyticsteam management,6 Days Ago
GN - SONG - Service - Business Process - Consultant,Accenture,3.8,56065,5-10 Yrs,Not disclosed,Bengaluru,"3-5 years experience in business process modeling and re-engineering, Lean Six Sigma ce...",business process modelingproject managementlean six sigmamodeling toolsprocess modelingsix sigmadata analyticsprocess consulting,6 Days Ago
GN - SONG - Service - Amazon Connect Functional Manager,Accenture,3.8,56065,4-9 Yrs,Not disclosed,Bengaluru,Job Title - Amazon Connect Functional Manager / Senior Manager S&C GN SONGManagement Le...,business managementservice managementcustomer servicedesign processdigital transformationplasterflooringproject management,6 Days Ago
Application Lead,Accenture,3.8,56065,12-16 Yrs,Not disclosed,Bengaluru,Minimum 12 years of experience in Retirement Planning Services; strong educational back...,presentation skillsbusiness requirement analysisretirement planningms office suitescrumdata analysisoraclebusiness analysis,6 Days Ago
GN - SONG - Service - Nice CX One - Consultant,Accenture,3.8,56065,5-10 Yrs,Not disclosed,Bengaluru,Experience in implementing at least 1 NICE inContact / CXone project a must (which invo...,rpaweb servicesomnicloud administrationjavaccplasterproject management,6 Days Ago
Application Lead,Accenture,3.8,56065,5-9 Yrs,Not disclosed,Bengaluru,Minimum 5 year(s) of experience is required. Educational Qualification : Engineering gr...,pysparkdesign patternshadoopsoftware developmentmicrosoft azurehiveado.netsql,6 Days Ago
GN - SONG - MT - CDP - Consultant,Accenture,3.8,56065,5-10 Yrs,Not disclosed,Bengaluru,The Strategy & Consulting Global Network Song Practice | Marketing Transformation | Dig...,campaign managementdigital marketinggoogle apibusiness developmentcdpstrategy consultingpaid mediaadobe marketing cloud,6 Days Ago
Strategy - MC - Industry X Smart Connected Products - Manager,Accenture,3.8,56065,4-9 Yrs,Not disclosed,Bengaluru,Location:Bangalore/ Gurgaon / Pune/Mumbai . Must have skills:SAP (MDG / PS/MM / PPM) Im...,sapclient deliveryppmmdgsap mmproject managementprogram managementbusiness analysis,6 Days Ago
